ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
ABCOTS.NS,ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,9091841024,INR,NSE,EQUITY,
ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,90194100224,INR,NSE,EQUITY,
ABLBL.NS,ABLBL,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,Apparel Retail,154334904320,INR,NSE,EQUITY,
ADL.NS,ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",458659008,INR,NSE,EQUITY,
ADVANIHOTR.NS,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,5304120832,INR,NSE,EQUITY,
ADVENTHTL.NS,ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Resorts & Casinos,11863107584,INR,NSE,EQUITY,
AERONEU.NS,AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,2082355840,INR,NSE,EQUITY,
AGI.NS,AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,46713335808,INR,NSE,EQUITY,
AHLEAST.NS,AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,2309525504,INR,NSE,EQUITY,
AIROLAM.NS,AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1544905984,INR,NSE,EQUITY,
AKI.NS,AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories,747297216,INR,NSE,EQUITY,
AKSHAR.NS,AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,417358272,INR,NSE,EQUITY,
ALOKINDS.NS,ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile Manufacturing,78843854848,INR,NSE,EQUITY,
ALPSINDUS.NS,ALPSINDUS,Alps Industries Limited,Consumer Cyclical,Textile Manufacturing,125968384,INR,NSE,EQUITY,
AMBER.NS,AMBER,Amber Enterprises India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",238448852992,INR,NSE,EQUITY,
AMBIKCO.NS,AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile Manufacturing,7269032448,INR,NSE,EQUITY,
AMDIND.NS,AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging & Containers,958720768,INR,NSE,EQUITY,
ANTGRAPHIC.NS,ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers,145709024,INR,NSE,EQUITY,
APOLLOTYRE.NS,APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,323865378816,INR,NSE,EQUITY,
ARCHIES.NS,ARCHIES,Archies Limited,Consumer Cyclical,Specialty Retail,621552000,INR,NSE,EQUITY,
ARROWGREEN.NS,ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers,8102222848,INR,NSE,EQUITY,
ARVIND.NS,ARVIND,Arvind Limited,Consumer Cyclical,Textile Manufacturing,83372032000,INR,NSE,EQUITY,
ARVINDFASN.NS,ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Apparel Manufacturing,68521549824,INR,NSE,EQUITY,
ASAHIINDIA.NS,ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Auto Parts,252505391104,INR,NSE,EQUITY,
ASAL.NS,ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Auto Parts,7883957760,INR,NSE,EQUITY,
ASIANHOTNR.NS,ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Lodging,6236537856,INR,NSE,EQUITY,
ASKAUTOLTD.NS,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,Consumer Cyclical,Auto Parts,91592450048,INR,NSE,EQUITY,
ATHERENERG.NS,ATHERENERG,Ather Energy Limited,Consumer Cyclical,Auto Manufacturers,257850392576,INR,NSE,EQUITY,
ATLASCYCLE.NS,ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Cyclical,Leisure,610752192,INR,NSE,EQUITY,
ATULAUTO.NS,ATULAUTO,Atul Auto Limited,Consumer Cyclical,Auto Manufacturers,12054767616,INR,NSE,EQUITY,
AUTOAXLES.NS,AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Auto Parts,27486453760,INR,NSE,EQUITY,
AUTOIND.NS,AUTOIND,Autoline Industries Limited,Consumer Cyclical,Auto Parts,3422212608,INR,NSE,EQUITY,
AVL.NS,AVL,Aditya Vision Limited,Consumer Cyclical,Specialty Retail,65479446528,INR,NSE,EQUITY,
AVROIND.NS,AVROIND,Avro India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1531569408,INR,NSE,EQUITY,
AXITA.NS,AXITA,Axita Cotton Limited,Consumer Cyclical,Textile Manufacturing,4320823296,INR,NSE,EQUITY,
AYMSYNTEX.NS,AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile Manufacturing,9676915712,INR,NSE,EQUITY,
BAJAJ-AUTO.NS,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,2515234455552,INR,NSE,EQUITY,
